level-1,level-2,level-3,timestamp,author,speech
,,,10.00 pagi,ANNOTATIONS,[Tuan Yang di-Pertua mempengerusikan Mesyuarat]
MENGANGKAT SUMPAH,"PEMASYHURAN TUAN YANG DI-PERTUA
MENGALU-ALUKAN AHLI BARU",,10.00 pagi,,"Ahli Yang Berhormat yang tersebut di bawah ini telah mengangkat sumpah:
- Yang Berhormat Datuk Seri Anwar Ibrahim [Port Dickson]"
MENGANGKAT SUMPAH,"PEMASYHURAN TUAN YANG DI-PERTUA
MENGALU-ALUKAN AHLI BARU",,10.00 pagi,Tuan Yang di-Pertua,"Ahli-ahli Yang Berhormat, saya mengucapkan tahniah
kepada Yang Berhormat Dato’ Seri Anwar Ibrahim, Ahli Parlimen Port Dickson yang telah
mengangkat sumpah sebentar tadi. Saya juga mengucapkan tahniah kepada Yang
Berhormat Dato’ Seri yang telah memenangi Pilihan Raya Kecil Port Dickson pada Sabtu, 13
Oktober 2018 lalu.
Seperti yang telah saya ungkapkan pada hari pertama persidangan Dewan Rakyat,
pada Isnin 16 Julai 2018, Dewan Rakyat ini mempunyai kedudukan yang tertinggi dalam
menentukan undang-undang negara dengan bertujuan memberikan manfaat terbesar
kepada seluruh rakyat Malaysia. Ia mempunyai wibawanya sendiri dan melengkapkan
cabang-cabang pemerintahan yang lain. Justeru, peranan Parlimen sebagai medan
perbahasan dan perdebatan yang bebas mesti dihayati sebaiknya. Usaha-usaha
menambahbaikkan proses penggubalan undang-undang mesti berterusan supaya Parlimen
ini terus dihormati dan disegani segenap lapisan masyarakat.
Saya yakin Ahli Yang Berhormat akan melaksanakan tugas sebagai wakil rakyat
dengan terhormat seperti yang dituntut keluhuran institusi ini terutama dalam usaha
membawa perubahan-perubahan untuk meningkatkan kewibawaan Parlimen. Oleh yang
demikian, saya berharap semoga Ahli Yang Berhormat dapat memberi sumbangan yang
berguna dan berfaedah kepada Dewan ini dan kepada negara seterusnya dan semoga dapat
berkhidmat dengan cemerlangnya. Tahniah sekali lagi."
MENGANGKAT SUMPAH,MEMPERKENANKAN AKTA-AKTA,,10.00 pagi,Tuan Yang di-Pertua,"Ahli-ahli Yang Berhormat, saya suka hendak memberitahu
Majlis ini iaitu Seri Paduka Baginda Yang di-Pertuan Agong dengan limpah kurnia Baginda
telah memperkenankan akta-akta yang telah diluluskan oleh Parlimen dalam Mesyuarat
Penggal yang lalu seperti berikut:
1. Akta Cukai Jualan 2018;
2. Akta Cukai Perkhidmatan 2018;
3. Akta Cukai Barangan dan Perkhidmatan (Pemansuhan) 2018;
4. Akta Kastam (Pindaan) 2018;
5. Akta Zon Bebas (Pindaan) 2018;
6. Akta Perbekalan (Penguntukan Semula Peruntukan Perbelanjaan) 2018;"
PERUTUSAN DARIPADA DEWAN NEGARA,,,10.00 pagi,Tuan Yang di-Pertua,"Ahli-ahli Yang Berhormat, saya telah menerima dua
perutusan daripada Yang di-Pertua Dewan Negara yang menyatakan keputusan Dewan itu
kepada rang undang-undang yang telah diluluskan oleh Dewan Rakyat dalam sidang
Parlimen
Penggal yang lalu.
[Setiausaha membacakan Perutusan]
“20 Ogos 2018
Perutusan Daripada Dewan Negara kepada Dewan Rakyat
Tuan Yang di-Pertua Dewan Rakyat,
Dewan Negara telah meluluskan rang undang-undang yang berikut tanpa pindaan:
1. Rang Undang-undang Cukai Jualan 2018;
2. Rang Undang-undang Cukai Perkhidmatan 2018;
3. Rang Undang-undang Cukai Barangan dan Perkhidmatan (Pemansuhan)
2018;
4. Rang Undang-undang Kastam (Pindaan) 2018;
5. Rang Undang-undang Zon Bebas (Pindaan) 2018;
Yang Ikhlas,
t.t
(Tuan Yang di-Pertua Dewan Negara)
“12 September 2018
Perutusan daripada Dewan Negara kepada Dewan Rakyat
Tuan Yang di-Pertua Dewan Rakyat,
Dewan Negara telah meluluskan rang undang-undang yang berikut tanpa pindaan:
1. Rang Undang-undang Perbekalan (Penguntukan Semula Peruntukan
Perbelanjaan) 2018;
2. Rang Undang-undang Suruhanjaya Pengangkutan Awam Darat
(Pembubaran) 2018;
3. Rang Undang-undang Pengangkutan Awam Darat (Pindaan) 2018
Dewan Negara tidak meluluskan rang undang-undang seperti berikut:
1. Rang Undang-undang Anti Berita Tidak Benar (Pemansuhan) 2018
Yang Ikhlas,
t.t
(Tuan Yang di-Pertua Dewan Negara)"
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,Tuan Fong Kui Lun [Bukit,"minta ng] minta Perdana Menteri menyatakan hasil
lawatan rasmi beliau dan rombongan ke negara Republik Rakyat China, perkara-perkara
yang dibincangkan dan dipersetujui dan langkah-langkah yang diambil untuk meningkatkan
hubungan dua hala dari segi perdagangan dan kerjasama ekonomi."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,Perdana Menteri [Tun Dr. Mahathir bin Mohamad],"Tuan Yang di-Pertua, seperti
mana Ahli Yang Berhormat sedia maklum, saya dan delegasi telah mengadakan lawatan
rasmi ke negara Republik Rakyat China pada 17 hingga 21 Ogos 2018 atas jemputan
daripada Tuan Yang Terutama Li Keqiang, Perdana Menteri China. Tujuan utama lawatan
rasmi ini ialah untuk meningkatkan persefahaman hubungan dua hala antara Malaysia dan
China dari segi perdagangan dan kerjasama ekonomi berikutan perubahan landskap politik
di Malaysia. Penjelasan tentang prinsip serta pendirian kerajaan baharu Pakatan Harapan
yang mengalu-alukan kemasukan pelaburan asing yang tulen serta bermanfaat untuk kedua-
dua buah negara turut dibincang dan diterima baik.
Ia menjadi asas bagi perbincangan lanjut di peringkat pegawai dan mencari
penyelesaian berkenaan dengan hutang pentadbiran terdahulu berjumlah berbilion ringgit
yang didapati terlalu tinggi, membebankan dan tidak bermanfaat kepada negara pada masa
ini.
Tuan Yang di-Pertua, di samping pertemuan dengan pemimpin-pemimpin Kerajaan
Republik Rakyat China, saya dan delegasi juga mengadakan lawatan ke syarikat-syarikat
terkemuka China dan pertemuan dengan ahli-ahli perniagaan. Kita dapati China telah
mencapai kemajuan, China telah mencapai kemajuan yang pesat dalam pelbagai bidang.
Antaranya dalam bidang pertanian, automotif, teknologi pembuatan pesawat tanpa pemandu
ataupun drone dan teknologi maklumat.
Lawatan ini memberi banyak idea kepada kita yang mana hasil penyelidikan dan
pengalaman mereka boleh digunakan untuk memperbaiki lagi cara-cara kita mengadakan
perusahaan di Malaysia. Kumpulan Alibaba telah bersetuju untuk berkongsi dan memberikan
latihan kepada sektor industri kecil dan sederhana Malaysia terutama dalam bidang e-dagang
dan pengusahaan teknologi. Proton Holding Berhad dan Zhejiang Geely Holding Group pula
telah memeterai heads of agreement yang merupakan perjanjian persefahaman pemindahan
teknologi daripada Geely kepada Proton dalam teknologi tenaga boleh diperbaharui yang
akan dapat meningkatkan mutu industri automotif negara di samping peluasan pasaran ke
negara berkenaan.
Saya juga berkesempatan mengadakan satu sesi dialog bersama pemimpin-
pemimpin perniagaan dari Malaysia yang berada di Beijing yang disertai seramai 93 orang
pemimpin korporat dan satu sesi pertemuan tertutup dengan sembilan orang ahli perniagaan
dari China yang mewakili syarikat-syarikat ternama yang juga merupakan ahli kepada China
Entrepreneurs Club. Pertemuan selanjutnya diadakan dengan ahli-ahli perniagaan Malaysia
yang berada di negara China. Semasa bertemu dengan seramai 400 orang ahli perniagaan
berkenaan, saya telah memberi jaminan bahawa hubungan dua hala antara Malaysia dan
China akan bertambah kukuh di bawah pentadbiran kerajaan semasa. Saya turut meyakinkan
dan menggalakkan komuniti perniagaan China untuk melabur di Malaysia.
Tuan Yang di-Pertua, dalam pertemuan saya bersama komuniti perniagaan serta
pemimpin-pemimpin Kerajaan China, saya telah menegaskan bahawa kerajaan Malaysia
menyokong pelaksanaan inisiatif belt and road. Bagi Malaysia ialah kapal-kapal dapat
menggunakan Selat Melaka dan Laut China Selatan tanpa gangguan. Malaysia sebagai
negara dagangan bergantung kepada laut untuk kebanyakan import dan eksportnya.
Kita menggalakkan pelaburan daripada China, namun pelaburan-pelaburan ini
perlulah memberikan peluang pekerjaan kepada rakyat Malaysia menggunakan bahan-
bahan tempatan dan peluang pemindahan teknologi kepada industri tempatan. Pelaburan
tidak termasuk membawa orang asing bermastautin di negara ini. Sebagai permulaan
sukacita dimaklumkan bahawa pihak China telah menyatakan kesediaan untuk mengimport
500,000 tan minyak kelapa sawit tambahan dari Malaysia dengan syarat harga yang
kompetitif ditawarkan.
Tuan Yang di-Pertua, secara keseluruhan lima buah memorandum of understanding
dan perjanjian antara agensi-agensi kerajaan telah ditandatangani semasa lawatan tersebut.
Saya juga turut menyaksikan pemeteraian dua perjanjian antara syarikat Malaysia dan China.
Selain itu, Malaysia dan China yang telah mempunyai hubungan dua hala yang kukuh sejak
terjalinnya hubungan diplomatik lebih 40 tahun dahulu turut bersetuju untuk terus
mewujudkan hubungan yang lebih dinamik serta saling bekerjasama meneroka bidang-
bidang baru yang bakal mendatangkan manfaat bersama dalam bidang teknologi, industri
dan inovasi. Sekian terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,Tuan Fong Kui Lun [Bukit Bintang],"Terima kasih Tuan Yang di-Pertua, soalan
tambahan. Terima kasih kepada Yang Amat Berhormat Perdana Menteri atas jawapan yang
diberi. Jumlah perdagangan yang direkod antara Malaysia dan China pada tahun 2017
adalah RM96.3 bilion dan pada tahun ini. Selepas Pilihan Raya ke-14, kita tidak tahu
kedudukannya."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1020,Tuan Fong Kui Lun [Bukit Bintang],"Akan tetapi baru-baru ini, selepas cuti Hari Kebangsaan China dari 1 Oktober hingga
7 Oktober, the ‘Golden Week’ holiday dengan izin, sektor pelancongan melaporkan bahawa
ketibaan pelancong dari negeri China merosot sebanyak 30 peratus berbanding dengan
tahun yang lepas. Adakah ia berpunca dari tindakan kerajaan mengkaji semula konsesi
perjanjian yang telah dimeterai termasuk membatalkan kontrak yang dibuat oleh kerajaan
terdahulu yang menyebabkan sentimen tidak puas hati pihak China dan apakah sektor lain-
lain yang terjejas dengan langkah baharu kerajaan ini? Apakah langkah yang kerajaan akan
ambil untuk mengatasi masalah yang terbaharu ini? Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1020,Tun Dr. Mahathir bin Mohamad,"Tuan Yang di-Pertua, pelancong daripada negara
China memang berkurangan bukan sahaja bagi Malaysia tetapi juga ke negara-negara yang
lain. Pada masa cuti national day mereka, memang ramai daripada rakyat China akan
melancong ke luar negara tetapi mereka juga melancong ke dalam negara mereka. Oleh
kerana ini, kita dapati untuk jangka masa 1 Oktober hingga 7 Oktober ini, bilangan telah
berkurangan. Akan tetapi kita yakin selepas ini, maka pelancong daripada China akan
bertambah seperti biasa. Sekian."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1020,Datuk Seri Ir. Dr. Wee Ka Siong [Ayer Hitam],"Terima kasih Yang Amat Berhormat
Perdana Menteri. Seperti mana Yang Amat Berhormat katakan tadi, Belt and Road Initiative
adalah satu agenda penting melibatkan 65 buah negara dan juga 44 bilion populasi dan
nampaknya dukungan, sokongan yang diberikan kepada BRI selama ini telah membawa hasil
kepada Malaysia. Atas sebab itulah, FDI datang ke Malaysia begitu banyak sekali.
Selain daripada pelaburan, ada empat perkara yang sangat penting. Apakah dalam
pertemuan Yang Amat Berhormat bersama dengan pemimpin China— ada empat perkara
yang menjadi fokus utama bagi rakyat Malaysia.
Pertama ialah tentang pengeluaran durian dari Malaysia yang mana harga agak
tinggi, permintaan agak tinggi di China. Apakah tindakan yang telah diambil oleh kerajaan
ini?
Kedua dari segi kelapa sawit. Kita lihat kelapa sawit di Malaysia berbanding dengan
harga di Indonesia, RM50 lebih murah kalau di Indonesia. Apakah tindakan Malaysia untuk
kita menawarkan satu pakej yang lebih baik?
Ketiga, kita lihat sarang burung walet, itu juga pasaran yang sangat besar di negara
China. Tiga perkara ini ia adalah satu punca pencarian rakyat Malaysia.
Keempat, seperti yang Yang Amat Berhormat Perdana Menteri kata tadi iaitu
tentang pelancong asing yang masuk. Nampaknya, ramai yang pergi ke Thailand. Sepuluh
juta setahun ke sana dan penurunan yang secara mendadak ke Malaysia. Apakah cara yang
akan digunakan oleh Yang Amat Berhormat supaya apa yang telah dibincangkan di social
media di China yang mana mereka mempunyai persepsi yang tidak baik terhadap Malaysia?
Bagaimana kita hendak menangkis tanggapan yang salah ini? Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1020,Tun Dr. Mahathir bin Mohamad,"Memang pelancong perlu membayar untuk visa
dan sebagainya. Pengeluaran visa ini dibuat di negara China sendiri dan ada kekurangan
khidmat ini yang perlu diperbaiki. Kita akan tentukan supaya harga yang dibayar tidaklah
terlalu tinggi dan kita juga akan menentukan supaya pengeluaran visa ini dilakukan dengan
lebih pantas dan lebih cepat.
Berkenaan dengan kelapa sawit pula, kita dapat persetujuan daripada pemimpin
negara China bahawa mereka akan menambah import minyak kelapa sawit sebanyak
500,000 tan jika harganya adalah berpatutan.
Saya telah jawab berkenaan dengan pelancong tadi iaitu ada kalanya jumlah
pelancong dari satu-satu negara berkurangan dan ada kalanya ia meningkat. Kita sedang
berusaha untuk menentukan sebab-sebab ia berkurangan dan kita akan atasi masalah-
masalah ini supaya lebih ramai pelancong daripada negara China akan datang ke Malaysia."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1020,Tan Sri Datuk Seri Panglima Haji Annuar bin Haji Musa [Ketereh],"Terima kasih
Tuan Yang di-Pertua. Tahniah atas lawatan Yang Amat Berhormat Perdana Menteri. Yang
Amat Berhormat Perdana Menteri sewaktu berucap di Perhimpunan Agung Bangsa-bangsa
Bersatu juga turut menyebutkan tentang kebimbangan Malaysia berkaitan dengan perang
dagangan antara dua kuasa besar. Saya percaya salah satu daripada kuasa besar itu adalah
negara China sendiri.
Jadi dalam situasi ini, apakah sewaktu lawatan Yang Amat Berhormat telah timbul
perbincangan daripada sudut pentingnya Malaysia mengamalkan dasar yang lebih condong
kepada negara yang lebih dekat, ekonomi yang lebih dekat iaitu Republik Rakyat China
memandangkan baru-baru ini beberapa institusi dan pelobi di Amerika seperti IRI, NED telah
membuat pengakuan yang mereka telah melabur dengan memberi sokongan kepada
pembangkang ketika itu untuk mengambil alih kerajaan dan melakukan regime change? Jadi
dalam situasi ini, adakah Malaysia terikat dan terdorong sama ada dengan Amerika ataupun
dengan China walaupun kita tahu kita mengamalkan dasar berkecuali?"
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1020,Tun Dr. Mahathir bin Mohamad,"Tuan Yang di-Pertua, Malaysia melalui Kerajaan
Pakatan Harapan ini mempunyai dasar tidak campur tangan dalam apa jenis peperangan
sama sekali. [Tepuk] Atas sebab itu, kita tidak menyertai peperangan ini.
Namun demikian, kita sedar bahawa peperangan dagangan ini mungkin mempunyai
kesan ke atas kita. Sehingga kini belum terdapat kesan yang ketara di negara kita.
Dagangan kita masih terus bersama dengan negara China dan negara Amerika. Jika pun
ada kesan, kita harap ia adalah dengan cara pemindahan pelaburan Amerika Syarikat di
negara China ke negara Malaysia. Jadi ada kemungkinan kita mendapat sedikit kebaikan
daripada perang dagangan antara China dengan US."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,■1020,Dato’ Sri Hajah Rohani binti Abdul Karim [Batang Lupar],"minta  Menteri
Pembangunan Wanita, Keluarga dan Masyarakat menyatakan berdasarkan trend kes-kes
tekanan jiwa/mental yang semakin meningkat pada masa kini, apakah peranan dan tindakan
serta program-program yang dilaksanakan oleh Lembaga Kaunselor di dalam menghadapi
perkara ini."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,■1020,"Menteri Pembangunan Wanita, Keluarga dan Masyarakat [Dato’ Seri Dr. Wan Azizah Wan Ismail]","Terima kasih Tuan Yang di-Pertua dan terima kasih Yang Berhormat
Batang Lupar. Soalan yang saya kira sepatutnya Yang Berhormat mengetahui juga dengan
mendalam kerana ini adalah peranan kaunselor dan perkhidmatan kaunseling ini dilihat
sebagai keperluan yang penting terutamanya dalam situasi masyarakat yang semakin
berhadapan dengan pelbagai tekanan hidup.
Lembaga Kaunselor merupakan pertubuhan perbadanan yang ditubuhkan di bawah
Akta Kaunselor 1998 [Akta 580]. Bagi menguatkuasakan akta ini, Lembaga Kaunselor
berperanan memastikan perkhidmatan kaunseling profesional dilaksanakan berdasarkan
standard yang telah ditetapkan dan latihan kepada kaunselor di institut pengajian tinggi (IPT)
sama ada awam atau swasta adalah mengikut piawaian oleh Lembaga Kaunselor. Lembaga
Kaunselor telah mengambil pendekatan proaktif dengan menguatkuasakan fungsinya
sebagaimana diperuntukkan dalam akta dengan mengadakan program kepada kaunselor
berdaftar bagi mempertingkatkan lagi kompetensi kaunselor dalam menghadapi kes-kes
sebegini.
Sepanjang tahun 2018, Lembaga Kaunselor telah menganjurkan lima bengkel
berbentuk teori dan amali untuk mempertingkatkan lagi kemahiran kaunselor dan
menganjurkan dua seminar tentang kesedaran masalah kesihatan mental di peringkat
kebangsaan iaitu di Sabah dan di Putrajaya pada September dan Oktober tahun ini. Program
ini dilaksanakan dengan kerjasama rakan strategik, antaranya institusi pengajian tinggi
awam, Jabatan Pendidikan Negeri dan NGO."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,■1030,"Menteri Pembangunan Wanita, Keluarga dan Masyarakat [Dato’ Seri Dr. Wan Azizah Wan Ismail]","Bulan ini merupakan bulan Kaunseling Kebangsaan Tahun 2018 bertemakan
‘Perkhidmatan Kaunseling Profesional Pemangkin Kesejahteraan Masyarakat’ bagi hasrat
kerajaan untuk meningkatkan kesedaran masyarakat mengenai kewujudan kaunselor dan
kepentingan perkhidmatan kaunseling profesional kepada masyarakat.
Pada 1 Oktober 2018 juga, saya telah melancarkan Garis Panduan Perkhidmatan
Kaunseling Keluarga dan Perkahwinan yang telah dibangunkan oleh Lembaga Kaunselor.
Garis panduan ini boleh dijadikan rujukan untuk mengendalikan isu dalam keluarga seperti
penderaan, keganasan rumah tangga, penceraian, pengabaian dan sebagainya. Terima
kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,■1030,Dato’ Sri Hajah Rohani binti Abdul Karim [Batang Lupar],"Terima kasih Tuan
Yang di-Pertua, terima kasih juga kepada Yang Amat Berhormat Timbalan Perdana Menteri
yang sama-sama memberi jawapan tentang peranan Lembaga Kaunselor dan tentang bulan
ini sebagai bulan kaunseling.
Soalan tambahan saya. Kes tekanan jiwa dan juga mental berlaku juga di kalangan
pelajar-pelajar di sekolah dan universiti-universiti. Jadi saya ingin tahu daripada Yang Amat
Berhormat, apakah peranan yang dimainkan oleh guru-guru kaunselor di sekolah-sekolah
dan juga di universiti-universiti untuk membanteras dan memulihkan pelajar-pelajar yang
mengalami tekanan jiwa ini? Bagaimana Lembaga Kaunselor memantau guru-guru kaunselor
di sekolah-sekolah dan juga di universiti-universiti? Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,■1030,Dato’ Seri Dr. Wan Azizah Wan Ismail,"Terima kasih Yang Berhormat Batang
Lupar, terima kasih Tuan Yang di-Pertua.
Memang ada masalah juga merangkumi pelajar-pelajar di institut dan juga di
sekolah. Saya kira bukan saja masalah-masalah tekanan jiwa untuk terutamanya mangsa-
mangsa buli dan penderaan tetapi juga mereka yang membuli itu pun mesti diberikan
kaunseling.
Saya baru saja melancarkan satu program yang dibawa oleh NGO tentang bullying
dan bagaimana kita nak menanganinya untuk mengurangkannya. Kita juga ada para-para
kaunselor anjuran Institut Sosial Malaysia memberi pendedahan asas mengenai apakah
kaunseling dan psikologi pada masyarakat dan juga para-para kaunselor dan lay kaunselor
inilah yang boleh dirangkumkan dan diberikan latihan untuk menangani masalah.
Memang betul masalah di negara kita ini dengan masyarakat yang sekarang
urbanization dan juga masalah tekanan hidup ini, didapati bahawa mental illness ataupun
masalah mental, sakit jiwa itu meningkat. Kita memang memerlukan lagi banyak kaunselor-
kaunselor dan ini saya kira bahawa juga masalah kerana tidak ramai yang mengambil jurusan
kaunselor, keluar menjadi kaunselor sebab kerja-kerjanya mungkin tidak menarik ataupun
tidak ada glamor dalam pekerjaan itu. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,■1030,Datin Paduka Dr. Tan Yee Kew [Wangsa Maju],"Terima kasih Tuan Yang di-
Pertua. Pada pandangan saya, kesedaran terhadap keperluan dan kebaikan kaunseling ini
amat diperlukan lagi-lagi golongan yang mengalami pelbagai tekanan hidup. Soalan saya,
Yang Amat Berhormat, adakah kementerian melaksanakan program-program yang
menggunakan sistem sokongan sosial dalam komuniti untuk menghadapi trend peningkatan
masalah mental ini? Sekian."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,■1030,Dato’ Seri Dr. Wan Azizah Wan Ismail,"Terima kasih Tuan Yang di-Pertua, terima
kasih Yang Berhormat Wangsa Maju.
Memang kita ada, terutamanya dalam LPPKN apabila kita ada program-program
kaunseling ini Bahagian Bimbingan dan Kaunseling, Jabatan Pembangunan Wanita. Kita ada
juga dua pegawai psikologi yang bertugas dan juga disediakan bagaimana talian untuk
mendapat information tentang ini.
Kita juga memang nak mengalu-alukan NGO-NGO dalam mengendalikan,
memberikan latihan lebih kepada mereka-mereka sebab apa Yang Berhormat kata itu
memang kita perlu meningkatkan kesedaran. Masalah yang sekarang ini makin meruncing
apabila kita ada lay counsellors yang boleh menangani masalah seramai mungkin dalam
masyarakat. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,3.,,■1030,Tuan Hassan bin Abdul Karim [Pasir Gudang],"minta  Menteri Hal Ehwal Ekonomi
menyatakan apakah benar aliran tunai (cash flow) FELDA hampir kosong. Apakah langkah-
langkah yang kerajaan akan ambil untuk memastikan nasib peneroka-peneroka FELDA
terbela."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,3.,,■1030,Menteri Hal Ehwal Ekonomi [Dato’ Seri Mohamed Azmin bin Ali],"Tuan Yang di-
Pertua, Yang Berhormat Pasir Gudang ingin mengetahui tentang kedudukan aliran tunai
FELDA pada ketika ini dan juga bertanyakan apakah langkah-langkah untuk kerajaan
membela nasib peneroka FELDA.
Untuk makluman Yang Berhormat, pada masa ini FELDA sedang mengalami
masalah kedudukan aliran tunai yang amat kritikal berikutan terdapat pinjaman dengan
institusi kewangan yang berbaki sebanyak RM8 bilion sehingga Jun 2018. Selain itu, harga
minyak sawit mentah ataupun CPO yang rendah juga merupakan salah satu faktor yang
memberi kesan kepada kedudukan aliran tunai FELDA yang semakin berkurangan.
Maka, pelan pemulihan kedudukan aliran tunai FELDA merupakan salah satu pelan
jangka panjang yang sedang diberikan tumpuan oleh Lembaga Pengarah dan Pengurusan
FELDA yang baharu dilantik pada bulan Julai 2018 dan perkara ini telah pun dimulakan
dengan mengadakan perjumpaan dengan beberapa institusi kewangan untuk
menstrukturkan semula pinjaman FELDA dengan institusi kewangan yang berkenaan.
Dengan kaedah ini, FELDA dijangka dapat mengurangkan 15 peratus baki pinjaman kepada
RM6.8 bilion pada akhir tahun 2018.
Selain itu, FELDA juga sedang dalam rangka untuk melihat keperluan menjual aset-
aset yang bukan strategik seperti hartanah di London, Sarawak dan juga Sabah yang dibeli
dengan kos sebanyak RM2.2 bilion. Kaedah ini dapat menampung sebahagian daripada
komitmen FELDA kepada 112,635 peneroka dan dengan kaedah yang dilaksanakan seperti
di atas, FELDA dijangka dapat memulihkan kedudukan aliran tunai dalam tempoh dua tahun
yang akan datang.
Dalam Dewan yang mulia ini, kerajaan ingin memberikan komitmen untuk
memulihkan FELDA secepat mungkin demi kesejahteraan peneroka-peneroka FELDA
selaras dengan matlamat penubuhan FELDA di bawah Akta Kemajuan Tanah 1956. Isu dan
langkah dalam pemulihan pengurusan kewangan dan tadbir urus FELDA akan dibentangkan
secara terperinci dalam Kertas Putih FELDA yang pada peringkat akhir dan akan
dibentangkan dalam sidang kali ini. Dengan langkah ini, kerajaan percaya kedudukan
sebenar agensi ini dan langkah pemulihannya akan dapat dikenal pasti dan dapat diambil
perhatian oleh Ahli-ahli Yang Berhormat.
Seterusnya, kita juga sedang dalam merangka pelan tindakan pemulihan
menyeluruh yang bersesuaian untuk memberikan manfaat langsung kepada FELDA dan juga
warga peneroka FELDA. Terima kasih."
