level-1,level-2,level-3,timestamp,author,speech
,,,10.00 pagi,ANNOTATIONS,[Tuan Yang di-Pertua mempengerusikan Mesyuarat]
,,,10.00 pagi,JAWAPAN-JAWAPAN MENTERI BAGI PERTANYAAN-PERTANYAAN Tuan Karupaiya a/l Mutusami [Padang Serai],"Tuan Yang di-Pertua, saya
minta dua minit, saya ada masalah di kawasan saya. Dua minit. Terima kasih Tuan Yang
di-Pertua. Padang Serai ingin sampaikan masalah-masalah rakyat di kawasan, terutama
sekali PKPD telah dilanjutkan di Taman Bayam, Taman Kangkung 1 dan 2, Taman Cekur
Manis, Taman Sedeli Limau, Taman Bayam Indah, Taman Halia dan Taman Kubis di
kawasan Paya Besar. Parlimen Padang Serai hingga 24 Disember 2020 iaitu selama
empat minggu.
Kini, penduduk setempat berhadapan dengan beberapa masalah seperti
bantuan makanan seperti susu untuk kanak-kanak, pampers dan lain-lain keperluan asas
dan urusan pembelian makanan juga dihadkan. Ada pasar tani yang dibuka di kawasan
PKPD. Namun, saya mendapat aduan bahawa penjual mengambil kesempatan dengan
menjual barangan dengan harga yang mahal.
Oleh sebab PKPD dimulakan pada 27 November 2020, ramai pekerja swasta
tidak dapat pergi ke bank untuk mengeluarkan wang gaji bagi membeli barangan
keperluan kerana bayaran gaji hanya dibuat pada hujung bulan tersebut. Saya memohon
agar kementerian yang berkenaan bertindak dengan segera bagi mengatasi masalah ini.
Saya juga mohon agar bantuan RM300 diberi kepada setiap keluarga yang tinggal di
kawasan berkenaan. Oleh sebab rakyat tidak boleh keluar. Rakyat susah. Kanak-kanak
terseksa di situ. Saya minta, saya rayu, saya minta tolong pada kerajaan. Bantulah di
kawasan saya. Sekian, terima kasih Tuan Yang di-Pertua."
,,,10.00 pagi,Tuan Yang di-Pertua,"Terima kasih Yang Berhormat Padang Serai. Dewan
bersimpati dengan semua kesulitan yang dialami. Saya harap Yang Berhormat Padang
Serai boleh berjumpa Yang Berhormat Menteri yang berkenaan dan saya harap ia dapat
diselesaikan dengan segera. Terima kasih.
Ahli-ahli Yang Berhormat, sekarang– Tuan Setiausaha, sekarang Waktu
Pertanyaan-pertanyaan Menteri kah? Setiap pertanyaan oleh Yang Berhormat akan
diperuntukkan masa selama satu minit dan jawapan oleh Yang Berhormat Menteri
diperuntukkan selama dua minit dengan tiada sebarang pertanyaan tambahan.
Saya mempersilakan Yang Berhormat Tuan Haji Wan Hassan bin Mohd Ramli."
,1.,,10.00 pagi,Tuan Haji Wan Hassan bin Mohd Ramli [Dungun],"minta  Menteri Pelancongan,
Seni dan Budaya menyatakan strategi jangka pendek kementerian bagi memastikan
aktiviti pelancongan domestik dapat dioptimumkan semula sepenuhnya dalam fasa ini
susulan kebenaran rentas negeri dan daerah oleh MKN."
,1.,,10.00 pagi,Tuan Yang di-Pertua,"Terima kasih Yang Berhormat. Silakan Yang Berhormat
Menteri."
,1.,,10.00 pagi,"Menteri Pelancongan, Seni dan Budaya [Dato’ Sri Hajah Nancy Shukri]","Terima kasih Tuan Yang di-Pertua. Bismillahirrahmanirrahim. Assalamualaikum
warahmatullahi wabarakatuh. Terima kasih Yang Berhormat Dungun.
Tuan Yang di-Pertua, selaras dengan keputusan kerajaan memperkenalkan
gelembung perjalanan domestik zon hijau serta kebenaran rentas daerah dan negeri
baru-baru ini, Kementerian Pelancongan Seni dan Budaya (MOTAC) giat merangka dan
melaksanakan pelbagai inisiatif jangka pendek untuk kembali merancakkan pelancongan
dalam negara.
Pertama, yang paling utama kita mahu bina keyakinan di kalangan rakyat kita
iaitu bahawa adalah selamat untuk melancong di dalam Malaysia. MOTAC sentiasa
bekerjasama rapat dengan penggiat industri pelancongan dalam berbincang mengenai
SOP-SOP yang perlu kita amalkan pada waktu ini dan kepentingan untuk memastikan
pematuhannya. Oleh sebab itulah kita yakin bahawa penggiat industri pelancongan kita
telah pun bersedia dalam aspek ini dari awal dan terus bergerak sepenuhnya sebaik
sahaja aktiviti pelancongan dibenarkan. Apabila rakyat melihat semua langkah berjaga-
jaga dilaksanakan, mereka akan berasa selamat untuk melancong.
Kedua Tuan Yang di-Pertua, kita beri galakan untuk rakyat kita melancong.
Untuk ini, kita tawarkan kepada rakyat insentif dan promosi dalam bentuk baucar rebat,
e-baucar, cashback dalam bentuk e-wallet dan diskaun untuk tempahan pakej
pelancongan penginapan dan pengangkutan. Dalam erti kata lainnya, kerajaan
memberikan bantuan kewangan atau membayar sebahagian atau, dengan izin, certain
portion dalam perbelanjaan untuk rakyat kita melancong dalam negara.
Ini sekali gus akan membantu industri perhotelan dan lain-lain yang berada
dalam rantaian industri pelancongan seperti pengangkutan dan F&B. Ketiga, kita di
MOTAC teruskan kerjasama dengan penggiat-penggiat industri dan semua kerajaan
negeri dalam membangun dan menawarkan pakej-pakej pelancongan baharu yang
menarik melalui platform digital. Kita perkenalkan dan promosikan destinasi pelancongan
di luar bandar atau hidden gems kerana pelancong kini lebih cenderung memilih destinasi
yang selamat, kurang orang dan udara segar.
Selain itu Tuan Yang di-Pertua, MOTAC akan teruskan siri Jelajah Semarakkan
Pelancongan Domestik. Kita akan pergi ke seluruh negara lagi sekali untuk
mempromosikan pelancongan domestik, memperkenalkan produk baharu pelancongan
dan juga memberi nafas baharu kepada produk sedia ada. Pada masa yang sama,
dilaksanakan juga promosi melalui pelbagai slot pengiklanan media massa sama ada
fizikal mahupun digital, termasuklah saluran radio, TV dan media sosial."
,1.,,■1010,"Menteri Pelancongan, Seni dan Budaya [Dato’ Sri Hajah Nancy Shukri]","MOTAC akan meneruskan kesinambungan fokus-fokus jangka pendek ini.
Antaranya termasuklah memperuntukkan sebahagian besar peruntukan di bawah
Belanjawan 2021 menerusi Pelan Pemulihan Pelancongan dan Kebudayaan seperti
yang telah saya jelaskan semasa sesi penggulungan. Di samping itu, penekanan kepada
agenda pembangunan sosial dan ekonomi rakyat diberikan menerusi pemerkasaan
industri kraf negara dengan tema Kraf Memperkasa Sosioekonomi Rakyat bermula tahun
2021. Semua inisiatif ini diyakini dapat merangsang dan menyuntik perbelanjaan
domestik secara konsisten dan seterusnya, mewujudkan kesan gandaan ekonomi,
khususnya yang berantaian dengan sektor pelancongan, seni dan budaya.
Tuan Yang di-Pertua, kalau kita semua mahu ekonomi ini dapat berterusan
secara mampan, kita perlu menjadi pelancong yang bertanggungjawab. Sama-sama kita
menjaga kita, diri sendiri. Terima kasih Tuan Yang di-Pertua."
,1.,,■1010,Tuan Yang di-Pertua,"Terima kasih Yang Berhormat. Silakan Yang Berhormat
Tuan Hassan bin Abdul Karim."
,2.,,■1010,Tuan Hassan bin Abdul Karim [Pasir Gudang],"minta  Perdana Menteri
menyatakan bilakah 25 usul undi tidak percaya dan dua usul undi percaya kepada YAB
Ahli Parlimen Pagoh sebagai Perdana Menteri Malaysia akan dibentangkan, dibahaskan
dan diundi di Dewan Rakyat."
,2.,,■1010,Tuan Yang di-Pertua,"Terima kasih Yang Berhormat. Silakan Yang Berhormat
Menteri."
