SABAH,167,KUDAT,BANGGI,1
SABAH,167,KUDAT,BENGKOKA,2
SABAH,167,KUDAT,PITAS,3
SABAH,167,KUDAT,TANJONG KAPOR,4
SABAH,168,KOTA MARUDU,MATUNGGONG,5
SABAH,168,KOTA MARUDU,BANDAU,6
SABAH,168,KOTA MARUDU,TANDEK,7
SABAH,169,KOTA BELUD,PINTASAN,8
SABAH,169,KOTA BELUD,TEMPASUK,9
SABAH,169,KOTA BELUD,USUKAN,10
SABAH,169,KOTA BELUD,KADAMAIAN,11
SABAH,170,TUARAN,SULAMAN,12
SABAH,170,TUARAN,PANTAI DALIT,13
SABAH,170,TUARAN,TAMPARULI,14
SABAH,170,TUARAN,KIULU,15
SABAH,171,SEPANGGAR,KARAMBUNAI,16
SABAH,171,SEPANGGAR,DARAU,17
SABAH,171,SEPANGGAR,INANAM,18
SABAH,172,KOTA KINABALU,LIKAS,19
SABAH,172,KOTA KINABALU,API-API,20
SABAH,172,KOTA KINABALU,LUYANG,21
SABAH,173,PUTATAN,TANJONG ARU,22
SABAH,173,PUTATAN,PETAGAS,23
SABAH,173,PUTATAN,TANJUNG KERAMAT,24
SABAH,174,PENAMPANG,KAPAYAN,25
SABAH,174,PENAMPANG,MOYOG,26
SABAH,175,PAPAR,LIMBAHAU,27
SABAH,175,PAPAR,KAWANG,28
SABAH,175,PAPAR,PANTAI MANIS,29
SABAH,176,KIMANIS,BONGAWAN,30
SABAH,176,KIMANIS,MEMBAKUT,31
SABAH,177,BEAUFORT,KLIAS,32
SABAH,177,BEAUFORT,KUALA PENYU,33
SABAH,178,SIPITANG,LUMADAN,34
SABAH,178,SIPITANG,SINDUMIN,35
SABAH,179,RANAU,KUNDASANG,36
SABAH,179,RANAU,KARANAAN,37
SABAH,179,RANAU,PAGINATAN,38
SABAH,180,KENINGAU,TAMBUNAN,39
SABAH,180,KENINGAU,BINGKOR,40
SABAH,180,KENINGAU,LIAWAN,41
SABAH,181,TENOM,MELALAP,42
SABAH,181,TENOM,KEMABONG,43
SABAH,182,PENSIANGAN,TULID,44
SABAH,182,PENSIANGAN,SOOK,45
SABAH,182,PENSIANGAN,NABAWAN,46
SABAH,183,BELURAN,TELUPID,47
SABAH,183,BELURAN,SUGUT,48
SABAH,183,BELURAN,LABUK,49
SABAH,184,LIBARAN,GUM-GUM,50
SABAH,184,LIBARAN,SUNGAI MANILA,51
SABAH,184,LIBARAN,SUNGAI SIBUGA,52
SABAH,185,BATU SAPI,SEKONG,53
SABAH,185,BATU SAPI,KARAMUNTING,54
SABAH,186,SANDAKAN,ELOPURA,55
SABAH,186,SANDAKAN,TANJONG PAPAT,56
SABAH,187,KINABATANGAN,KUAMUT,57
SABAH,187,KINABATANGAN,LAMAG,58
SABAH,187,KINABATANGAN,SUKAU,59
SABAH,188,LAHAD DATU,TUNGKU,60
SABAH,188,LAHAD DATU,SEGAMA,61
SABAH,188,LAHAD DATU,SILAM,62
SABAH,188,LAHAD DATU,KUNAK,63
SABAH,189,SEMPORNA,SULABAYAN,64
SABAH,189,SEMPORNA,SENALLANG,65
SABAH,189,SEMPORNA,BUGAYA,66
SABAH,190,TAWAU,BALUNG,67
SABAH,190,TAWAU,APAS,68
SABAH,190,TAWAU,SRI TANJONG,69
SABAH,191,KALABAKAN,KUKUSAN,70
SABAH,191,KALABAKAN,TANJONG BATU,71
SABAH,191,KALABAKAN,MEROTAI,72
SABAH,191,KALABAKAN,SEBATIK,73
