level-1,level-2,level-3,timestamp,author,speech
,,,10.00 pagi,,
,"JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN
",,10.00 pagi,ANNOTATIONS,
,1.,,10.00 pagi,Dato' Mohd. Nizar bin Haji Zakaria [Parit] ,"minta  Menteri Luar Negeri
menyatakan:
(a) apakah usaha tuntas yang telah dilaksanakan oleh kementerian
bersama negara-negara ASEAN bagi menyelesaikan isu
Rohingya; dan
(b) sejauh manakah usaha yang telah dilaksanakan oleh
kementerian bagi menempatkan pelarian Rohingya di negara
ketiga.
"
,1.,,10.00 pagi,Timbalan Menteri Luar Negeri [Dato’ Haji Kamarudin Jaffar]],"
Assalamualaikum warahmatullahi wabarakatuh dan selamat pagi, salam sejahtera. Saya
ucapkan terima kasih kepada Yang Berhormat Parit atas soalan yang dikemukakan
berhubung isu Rohingya dan etnik lain yang tertindas di Myanmar. Izinkan saya Tuan
Yang di-Pertua, menjawab pertanyaan Yang Berhormat Parit ini bersekali dengan
pertanyaan Yang Berhormat Sik bertarikh 7 Disember kerana kedua-dua pertanyaan
tersebut menyentuh isu yang sama.
Malaysia merupakan negara anggota ASEAN yang paling terkesan oleh isu
pelarian etnik Rohingya ini. Sehubungan itu, Kerajaan Malaysia akan terus berusaha
untuk mencari jalan penyelesaian yang terbaik dalam menangani isu Rohingya termasuk
melalui mekanisme ASEAN.
Dalam Mesyuarat-mesyuarat ASEAN, Malaysia sering kali menggariskan
kepentingan ASEAN menggesa Myanmar menangani krisis kemanusiaan di wilayah
Rakhine. Malaysia turut berulang kali menegaskan bahawa negara kita tidak mampu
menampung lebih ramai lagi pelarian Rohingya dan menyeru masyarakat antarabangsa
tampil membantu mencari jalan penyelesaian yang berkekalan. Perkara ini turut
dibangkitkan oleh Yang Amat Berhormat Perdana Menteri dan Yang Berhormat Menteri
Luar Negeri kita semasa mesyuarat-mesyuarat ASEAN berkaitan, termasuk semasa
Sidang Kemuncak ASEAN ke-38 dan ke-39 yang diadakan pada 28 hingga 29 Oktober
yang baru lalu.
Di samping itu Malaysia tegas menggesa Myanmar melaksanakan cadangan-
cadangan yang dikemukakan oleh dengan izin, ASEAN-Emergency Response and
Assessment Team dan melaksanakan penilaian keperluan komprehensif dengan izin,
comprehensive needs assessment. Ini untuk memastikan proses repatrasi pelarian
Rohingya dari Bangladesh ke Myanmar dilaksanakan secara sukarela, selamat dan
bermaruah serta mengurangkan jumlah pelarian yang membuat perjalanan lanjutan ke
Malaysia.
2  DR.3.11.2021 
Isu penempatan pelarian Rohingya ke negara ketiga sering diketengahkan oleh
kerajaan dalam perbincangan dengan negara-negara asing dan di platform-platform
antarabangsa. Malaysia sentiasa menggesa Pesuruhjaya Tinggi Pertubuhan Bangsa-
Bangsa Bersatu untuk pelarian dengan iMialSaifulzin, United Nations HCR atau United
Nations High Commissioner for Refugees untuk memberi kerjasama dalam
mempercepatkan proses penempatan semula pemegang kad UNHCR ke negara ketiga.
Kementerian juga konsisten mengadakan libat urus bersama UNHCR untuk mencari jalan
bagi meningkatkan kadar penempatan semula pelarian Rohingya ke negara ketiga.
Dalam isu ini, Kementerian Luar Negeri juga sentiasa menyeru pihak negara
ketiga kepada Konvensyen Status Pelarian 1991 dan Protokol Status Pelarian 1967 untuk
berkongsi beban dan tanggungjawab terutamanya dalam menerima lebih ramai golongan
pelarian bagi tujuan penempatan semula menerusi platform perbincangan dua hala dan
pelbagai hala di peringkat antarabangsa.
Dalam perbincangan dua hala antara Malaysia dengan negara-negara yang
berkemampuan untuk menerima pelarian Rohingya dari Malaysia, Malaysia sering
menekankan isu ini dan berharap agar lebih ramai dapat diterima masuk ke negara-
negara berkaitan.
Berkaitan dengan soalan Yang Berhormat Sik yang mengetengahkan dua isu
utama iaitu taraf kewarganegaraan Rohingya serta kebertanggungjawaban ke atas
pelarian pelanggaran hak asasi manusia yang berlaku ke atas hak etnik minoriti tersebut.
Mengenai isu kewarganegaraan, Kerajaan Myanmar pada tahun 1982 telah meluluskan
Undang-undang Kewarganegaraan 1982 yang mengecualikan etnik Rohingya daripada
senarai etnik bertaraf warganegara Myanmar.
Dalam hal ini, Malaysia akan terus memastikan bahawa penyelesaian isu
Rohingya meliputi pengiktirafan mereka sebagai warganegara Myanmar. Antara lain
Malaysia sentiasa menyokong usaha-usaha antarabangsa bagi memastikan
kebertanggungjawaban ke atas pelanggaran hak asasi manusia dan jenayah
kemanusiaan yang berlaku ke atas etnik Rohingya. Sebagai contoh Malaysia menyokong
resolusi Majlis Hak Asasi Manusia, Pertubuhan Bangsa-Bangsa Bersatu yang
menubuhkan satu mekanisme yang dinamakan Independent Investigative Mechanism for
Myanmar dengan izin, bagi mengumpul bukti-bukti pelanggaran hak asasi manusia di
Myanmar.
Akhir sekali Tuan Yang di-Pertua, Malaysia juga konsisten mengadakan libat urus
dengan pihak-pihak berkepentingan yang terlibat dengan kes dakwaan genosid ke atas
etnik Rohingya yang sedang dibicarakan di Mahkamah Keadilan Antarabangsa,
International Court of Justice.
Tambahan pula Mahkamah Jenayah Antarabangsa, International Criminal Court
turut menjalankan penyiasatan ke atas jenayah-jenayah kemanusiaan yang berlaku ke
atas etnik Rohingya. Dalam hal ini, wajar bagi Malaysia untuk bekerjasama dengan
mekanisme-mekanisme tersebut agar keadilan dapat dilunaskan kepada etnik Rohingya
dan hak-hak mereka dapat dikembalikan secara saksama. Terima kasih Tuan Yang di-
Pertua.
"
,1.,,10.00 pagi,Tuan Yang di-Pertua," Terima kasih Yang Berhormat Timbalan Menteri. Soalan
tambahan yang pertama.
"
,1.,,10.00 pagi,Dato’ Mohd Nizar bin Haji Zakaria [Parit]]," Terima kasih, Tuan Yang di-Pertua.
Terima kasih Yang Berhormat Timbalan Menteri.
"
,1.,,■1010,Dato’ Mohd Nizar bin Haji Zakaria [Parit]],"Negara kita cukup konsisten dalam memperjuangkan isu-isu kemanusiaan di
peringkat antarabangsa sekian lama. Saya ingin tanya kepada Yang Berhormat Timbalan
Menteri, apakah Malaysia, negara kita mampu untuk menguruskan isu Rohingya ini yang
dikatakan jumlah etniknya melebihi 200,000.
Apakah perkembangan terkini hasil Sidang Kemuncak Asia Timur Ke-16
Berkaitan Pelarian baru-baru ini serta bagaimana reaksi negara-negara yang terbabit,
khususnya yang telah menandatangani Konvensyen Pelarian 1951. Apakah negara kita
DR.3.11.2021  3 
hendak terus bergantung pada kuasa PBB yang dilihat gagal dalam menangani isu etnik
Rohingya ini dan sebaliknya ASEAN adalah jalan terbaik untuk menyelesaikan secara
kebersamaan sebaik-baiknya. Jadi, saya mohon pendirian daripada negara kita. Terima
kasih.
"
,1.,,■1010,Tuan Yang di-Pertua," Terima kasih. Silakan Yang Berhormat Timbalan Menteri.
"
,1.,,■1010,Dato’ Haji Kamarudin Jaffar," Terima kasih Yang Berhormat Parit, terima kasih
Tuan Yang di-Pertua. Memang sebagaimana yang termaktub dalam jawapan asal saya
tadi, Malaysia sudah menganggap kita sudah menanggung terlalu ramai pelarian daripada
Myanmar yang kita anggarkan lebih daripada 200,000 orang semuanya. Usaha-usaha kita
melalui negara-negara yang menjadi pejanji, penandatangan isu ataupun konvensyen
berkaitan dengan pelarian ini adalah– hasilnya amat kecil sekali.
Saya boleh sebutkan di sini bahawa dalam 18 tahun yang lalu, daripada tahun
2003 hingga 2021, kita hanya mampu menghantar ke negara ketiga, seramai 8,312 orang
sahaja kepada 10 buah negara seperti negara Australia, Kanada, Jepun dan sebagainya.
Negara yang terbesar menerima pelarian ini ialah Amerika Syarikat iaitu lebih 7,000 orang
dan yang terkecil, negara Finland, hanya satu orang sepanjang 18 tahun yang lalu. Jadi,
hasil daripadanya tidaklah membanggakan.
Maka oleh sebab itu, kita perlu terus bekerjasama dengan negara-negara di
seluruh dunia dan khususnya melalui ASEAN yang mana sekali lagi sebagaimana Sidang
Kemuncak ASEAN beberapa hari yang lalu, tunjukkan bahawa kerjasama tentang isu ini
tidaklah begitu berjaya. Lagi pula kita ada isu yang lebih besar dengan negara Myanmar
itu sendiri selain daripada isu Rohingya ini iaitu isu kerajaan yang ada atau pemerintah
yang ada sekarang ini di Myanmar itu. Terima kasih.
"
,1.,,■1010,Tuan Yang di-Pertua," Terima kasih. Soalan tambahan kedua.
"
