level-1,level-2,level-3,timestamp,author,speech
,,,10.00 pagi,ANNOTATIONS,[Tuan Yang di-Pertua mempengerusikan Mesyuarat]
PEMASYHURAN DARIPADA TUAN YANG DI-PERTUA,SALINAN TITAH SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG,,10.00 pagi,Tuan Yang di-Pertua,"Assalamualaikum warahmatullahi wabarakatuh. Selamat
sejahtera dan selamat pagi. Ahli-ahli Yang Berhormat, dengan sukacitanya saya
memaklumkan kepada Majlis ini, iaitu pada hari Isnin, 28 Februari 2022 Seri Paduka
Baginda Yang di-Pertuan Agong dengan limpah kurnia baginda telah berkenan
menyampaikan Titah Diraja dalam Parlimen.
Saya telah menerima salinan Titah Diraja, Seri Paduka Baginda Yang di-Pertuan
Agong itu dan seterusnya sekarang saya mengarahkan supaya salinan Titah Diraja itu
dibentangkan di atas Meja Mesyuarat dan seterusnya dicetak dalam Penyata Rasmi."
PEMASYHURAN DARIPADA TUAN YANG DI-PERTUA,SALINAN TITAH SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG,,10.00 pagi,ANNOTATIONS,[Salinan Titah Diraja adalah seperti di Lampiran]
PEMASYHURAN DARIPADA TUAN YANG DI-PERTUA,EMPERKENANKAN AKTA-AKTA,,10.00 pagi,Tuan Yang di-Pertua,"Ahli-ahli Yang Berhormat, saya suka hendak memberitahu
Majlis ini iaitu Seri Paduka Baginda Yang di-Pertuan Agong dengan limpah kurnia baginda
telah memperkenankan akta-akta yang telah diluluskan dalam Mesyuarat Kedua, Penggal
Keempat, Parlimen Keempat Belas yang lalu seperti berikut:
1. Akta Perbekalan 2022;
2. Akta Perihal Dagangan (Pindaan) 2021;
3. Akta Ordinan Peguam Bela (Sabah) (Pindaan) 2021;
4. Akta Kewangan 2021;
5. Akta Langkah-langkah Sementara bagi Mengurangkan Kesan
Penyakit Koronavirus 2019 (COVID-19) (Pindaan) 2021;
6. Akta Lembaga Angkasa Malaysia 2022;
7. Akta Harta Pusaka Kecil (Pembahagian) (Pindaan) 2022;
8. Akta Antipemerdagangan Orang dan Antipenyeludupan Migran
(Pindaan) 2022;
9. Akta Perlembagaan (Pindaan) 2022;
10. Akta Hak Cipta (Pindaan) 2022;
11. Akta Pemuliharaan Hidupan Liar (Pindaan) 2022; dan
12. Akta Perbadanan Insurans Deposit Malaysia (Pindaan) 2022."
PERUTUSAN DARIPADA DEWAN NEGARA,,,10.00 pagi,Tuan Yang di-Pertua,"Ahli-ahli Yang Berhormat, saya telah menerima satu
perutusan daripada Tuan Yang di-Pertua Dewan Negara yang menyatakan persetujuan
Dewan itu kepada rang undang-undang yang telah diluluskan oleh Dewan Rakyat dalam
Mesyuarat Kedua, Penggal Keempat, Parlimen Keempat Belas 2021 yang lalu. Saya
menjemput Setiausaha membacakan Perutusan itu sekarang.
[Setiausaha membacakan Perutusan]
“28 Februari 2022
Perutusan Daripada Dewan Negara kepada Dewan Rakyat
Tuan Yang di-Pertua Dewan Rakyat,
Dewan Negara telah meluluskan rang undang-undang yang berikut tanpa pindaan:
1. Rang Undang-undang Ordinan Peguam Bela (Sabah) (Pindaan)
2021;
2. Rang Undang-undang Perbadanan Insurans Deposit Malaysia
(Pindaan) 2021;
3. Rang Undang-undang Perihal Dagangan (Pindaan) 2021;
4. Rang Undang-undang Lembaga Angkasa Malaysia 2020;
5. Rang Undang-undang Keselamatan dan Kesihatan Pekerjaan
(Pindaan) 2020;
6. Rang Undang-undang Kilang dan Jentera (Pemansuhan) 2020;
7. Rang Undang-undang Perbekalan 2022;
8. Rang Undang-undang Pemuliharaan Hidupan Liar (Pindaan) 2021,
9. Rang Undang-undang Harta Pusaka Kecil (Pembahagian)
(Pindaan) 2021;
10. Rang Undang-undang Langkah-langkah Sementara bagi
Mengurangkan Kesan Penyakit Koronavirus (COVID-19) (Pindaan)
2021,
11. Rang Undang-undang Patern (Pindaan) 2021;
12. Rang Undang-undang Hak Cipta (Pindaan) 2021;
13. Rang Undang-undang Petunjuk Geografi 2021;
14. Rang Undang-undang Perlembagaan (Pindaan) 2021;
15. Rang Undang-undang Antipemerdagangan Orang dan
Antipenyeludupan Migran (Pindaan) 2021; dan
16. Rang Undang-undang Kewangan 2021.
Yang ikhlas,
t.t
YANG DI-PERTUA DEWAN NEGARA”"
PERUTUSAN DARIPADA DEWAN NEGARA,,,10.00 pagi,Tuan Yang di-Pertua,"Terima kasih Setiausaha. Ini adalah pemasyhuran saya
untuk Mesyuarat Pertama, Penggal Kelima, Parlimen Keempat Belas pada hari ini, 1 Mac
2022. Ahli-ahli Yang Berhormat, pandemik COVID-19 telah memasuki tahun ketiga
dengan menyaksikan kemunculan varian baharu di seluruh dunia. Malaysia juga tidak
terkecuali di mana varian Omicron telah mula dikesan seawal Disember tahun lalu.
Gelombang penularan varian Omicron ini telah menyebabkan kes positif COVID-
19 di Malaysia semakin meningkat dan membimbangkan sejak kebelakangan ini. Dalam
memastikan Mesyuarat Pertama, Penggal Kelima, Parlimen Keempat Belas ini dapat
dilaksanakan dengan keadaan lancar dan selamat, prosedur operasi standard (SOP)
pelaksanaan persidangan Parlimen Fasa Keempat telah diedarkan di atas meja Ahli-ahli
Yang Berhormat."
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Yang di-Pertua,"Ahli-ahli Yang Berhormat juga perlu menjalani ujian RTK Ag-Saliva secara berkala
sepanjang tempoh persidangan ini. Ujian RTK Ag-Saliva untuk Ahli-ahli Yang Berhormat
akan diadakan di Dewan Bankuet Parlimen Malaysia pada setiap hari Isnin dan Rabu
seperti yang lalu. Ujian ini akan mengambil masa sekitar 20 minit dan dibuat apabila Yang
Berhormat tiba di Parlimen. Pohon Ahli-ahli Yang Berhormat untuk hadir awal bagi
mengelakkan sebarang kelewatan dalam urusan Yang Berhormat di Dewan Rakyat.
Ahli-ahli Yang Berhormat juga diminta untuk sentiasa memakai peletup muka
(face mask) sepanjang berada di dalam Dewan Rakyat. Walau bagaimanapun Ahli Yang
Berhormat dibenarkan untuk membuka pelitup muka itu, face mask ketika berucap di
dalam Dewan Rakyat dan perlu memakai semula pelitup muka dengan kadar segera
selepas selesai berucap.
Ahli-ahli Yang Berhormat semua, akhir sekali di atas meja Ahli-ahli Yang
Berhormat juga telah diletakkan jadual kementerian menjawab semasa Sesi Pertanyaan-
pertanyaan bagi Jawab Lisan. Jadual ini akan diguna pakai bagi penentuan hari
kementerian menjawab sepanjang mesyuarat pertama ini. Sekian, terima kasih.
Dipersilakan Setiausaha."
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Khoo Poay Tiong [Kota Melaka],"Tuan Yang di-Pertua, saya Kota Melaka.
Saya berdiri di atas Peraturan Mesyuarat 83(2), izinkan saya bacakan."
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Yang di-Pertua,83.
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Khoo Poay Tiong [Kota Melaka],...(2).
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Yang di-Pertua,Ya.
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Khoo Poay Tiong [Kota Melaka],"Terima kasih Tuan Yang di-Pertua.
Peraturan 83(2) mengatakan bahawa."
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Yang di-Pertua,"Yang Berhormat boleh tidak bangkitkan selepas sesi soal
jawab pukul 12 nanti? Sebab ini..."
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Khoo Poay Tiong [Kota Melaka],"Selepas soal jawab Menteri ke? Selepas
jawab lisan."
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Yang di-Pertua,"Selepas soal jawab lisan semua ini pukul 12, sebab waktu
itu waktu usul semua."
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Khoo Poay Tiong [Kota Melaka],Tuan Yang di-Pertua masih chair?
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Yang di-Pertua,Saya duduk pukul 12.
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Khoo Poay Tiong [Kota Melaka],Tuan Yang di-Pertua ada?
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Yang di-Pertua,Saya duduk pukul 12.
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Khoo Poay Tiong [Kota Melaka],"Okey, terima kasih Tuan Yang di-Pertua."
PERUTUSAN DARIPADA DEWAN NEGARA,,,■1010,Tuan Yang di-Pertua,"Okey. Memulakan Waktu Pertanyaan Menteri-menteri hari
ini, saya ingin menjemput Yang Berhormat Tuan Haji Wan Hassan bin Mohd Ramli."
JAWAPAN-JAWAPAN MENTERI BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,Tuan Haji Wan Hassan bin Mohd Ramli [Dungun],"minta  Perdana Menteri
menyatakan langkah-langkah drastik yang diambil oleh kerajaan dalam menangani
musibah banjir yang baru melanda negeri-negeri Pantai Timur pada waktu ini."
